frase,situacao
formigamento contínua na cabeça de manhã,baixo risco
cansaço intermitente nas mãos após esforço,alto risco
Sinto suor excessivo com perda de visão na cabeça após esforço,baixo risco
falta de ar crônica nos pés de manhã,baixo risco
Apresentei forte rigidez muscular junto com dor abdominal no abdômen,alto risco
palpitação intermitente no abdômen ao acordar,alto risco
Apresentei moderada formigamento associada a rigidez muscular na garganta,alto risco
Tenho aguda aperto na cabeça à noite,baixo risco
dor abdominal persistente nos olhos após esforço,baixo risco
Tenho crônica aperto nos olhos de manhã,baixo risco
Sinto aperto com perda de visão nas mãos há uma semana,baixo risco
Apresentei crônica falta de ar com desconforto na lombar,alto risco
Sinto formigamento associada a formigamento nas mãos durante a noite,baixo risco
Apresentei persistente náusea com inquietação nos olhos,alto risco
Sinto rigidez muscular com inchaço na lombar há uma semana,alto risco
perda de visão leve na cabeça ao levantar,alto risco
Sensação de palpitação leve durante o repouso,baixo risco
Sensação de náusea repentina há uma semana,alto risco
Sinto cansaço junto com perda de visão na garganta à noite,baixo risco
Sinto náusea associada a dor de cabeça nas pernas após comer,baixo risco
Sinto confusão mental associada a suor excessivo na garganta ao acordar,alto risco
Sinto formigamento junto com palpitação nas costas ao acordar,alto risco
Tenho moderada perda de equilíbrio nos pés ao levantar,baixo risco
Sinto dor no peito junto com palpitação na cabeça durante a noite,alto risco
Sinto cansaço seguida de formigamento na garganta durante o repouso,alto risco
Tenho leve rigidez muscular na cabeça à noite,baixo risco
Sinto suor excessivo com coceira no peito durante a noite,baixo risco
fraqueza forte nos olhos ao acordar,alto risco
Apresentei forte palpitação associada a cansaço nos braços,alto risco
náusea crônica nas mãos há 2 dias,baixo risco
inchaço intensa nas mãos de manhã,alto risco
Sensação de aperto contínua após esforço,baixo risco
Sinto formigamento com inquietação nas mãos após esforço,baixo risco
Sinto coceira com dor de cabeça na garganta há 2 dias,baixo risco
Sinto confusão mental associada a formigamento nos pés há 2 dias,alto risco
Tenho repentina perda de visão na lombar de manhã,alto risco
Sensação de tontura contínua ao levantar,alto risco
dor no peito forte na coluna ao levantar,alto risco
Apresentei aguda aperto junto com tontura nos pés,baixo risco
inquietação forte na cabeça ao levantar,baixo risco
Tenho repentina aperto nas pernas de manhã,alto risco
Apresentei leve dor junto com falta de ar na cabeça,alto risco
Tenho intensa dor de cabeça na cabeça há uma semana,alto risco
Sinto dor associada a formigamento nas pernas à noite,alto risco
Apresentei intermitente tontura junto com palpitação na coluna,baixo risco
perda de equilíbrio intensa nos braços de manhã,baixo risco
Apresentei contínua falta de ar seguida de tosse nos olhos,alto risco
Tenho intensa coceira na cabeça de manhã,baixo risco
Tenho contínua cansaço nos olhos há uma semana,baixo risco
Tenho contínua formigamento nos braços há uma semana,alto risco
desconforto forte na coluna durante a noite,baixo risco
tontura intensa nas mãos de manhã,alto risco
Apresentei aguda aperto junto com rigidez muscular nas mãos,baixo risco
Sinto perda de equilíbrio seguida de cansaço no abdômen durante a noite,baixo risco
cansaço aguda nos braços de manhã,baixo risco
Sinto formigamento associada a inchaço nas mãos ao acordar,alto risco
Tenho leve dor nas pernas à noite,alto risco
Apresentei aguda perda de visão seguida de fraqueza nos pés,baixo risco
dor de cabeça aguda nas mãos durante a noite,baixo risco
Sensação de perda de equilíbrio moderada há uma semana,baixo risco
rigidez muscular repentina na cabeça durante a noite,baixo risco
Tenho moderada cansaço no peito há 2 dias,alto risco
Sensação de confusão mental repentina há uma semana,alto risco
Tenho crônica dor abdominal no peito à noite,baixo risco
Sinto inchaço associada a febre na cabeça de manhã,alto risco
Apresentei intensa aperto junto com cansaço na garganta,baixo risco
Sinto cansaço junto com tontura nos braços de manhã,alto risco
Sinto palpitação com cansaço no abdômen durante o repouso,baixo risco
Sinto inquietação associada a calafrio nas pernas após esforço,baixo risco
Sensação de cansaço aguda ao levantar,alto risco
Apresentei aguda dor abdominal com confusão mental nos pés,alto risco
Apresentei persistente inchaço junto com náusea nas pernas,alto risco
Sensação de suor excessivo repentina ao acordar,baixo risco
inchaço intensa no abdômen durante a noite,alto risco
Tenho moderada suor excessivo na lombar após esforço,baixo risco
Sinto confusão mental seguida de suor excessivo no abdômen de manhã,alto risco
calafrio persistente no abdômen durante a noite,baixo risco
Tenho leve cansaço na lombar após esforço,baixo risco
palpitação crônica na garganta durante a noite,alto risco
formigamento leve nas mãos durante o repouso,baixo risco
Sinto náusea junto com cansaço na coluna após comer,alto risco
Sinto palpitação e coceira nos pés ao levantar,baixo risco
Apresentei intensa aperto e febre na cabeça,alto risco
Tenho intermitente dor no peito nos pés há uma semana,alto risco
Sinto inquietação seguida de perda de visão nos olhos ao acordar,alto risco
Sinto dor de cabeça associada a palpitação na coluna ao levantar,alto risco
Apresentei persistente palpitação e palpitação na lombar,baixo risco
Tenho contínua dor no peito no abdômen ao levantar,alto risco
Sensação de aperto repentina após esforço,alto risco
Apresentei moderada dor no peito associada a suor excessivo nos olhos,baixo risco
Tenho repentina desconforto nas pernas há 2 dias,alto risco
inquietação moderada na lombar de manhã,baixo risco
Sinto perda de equilíbrio associada a fraqueza no peito há uma semana,baixo risco
palpitação aguda nas costas ao levantar,alto risco
falta de ar forte na cabeça durante a noite,alto risco
Sinto aperto com dor no peito na lombar após comer,alto risco
palpitação crônica no abdômen após esforço,alto risco
dor no peito leve nas pernas há uma semana,baixo risco
Apresentei intermitente palpitação e suor excessivo nas pernas,alto risco
Sensação de fraqueza forte ao acordar,baixo risco
Sinto aperto com calafrio nos pés à noite,baixo risco
Tenho leve dor abdominal nos olhos após esforço,baixo risco
Tenho repentina dor abdominal no peito após esforço,alto risco
Sinto inchaço seguida de perda de visão na lombar há uma semana,alto risco
Sensação de suor excessivo forte há 2 dias,alto risco
Sensação de febre moderada após esforço,baixo risco
Apresentei intensa tontura junto com inchaço no abdômen,baixo risco
Sensação de perda de visão aguda à noite,alto risco
Apresentei intermitente febre junto com dor de cabeça no peito,alto risco
Sensação de dor abdominal leve após esforço,alto risco
Apresentei aguda dor no peito seguida de confusão mental no abdômen,baixo risco
aperto aguda na coluna durante a noite,alto risco
Sinto coceira associada a formigamento no abdômen ao levantar,alto risco
Tenho forte dor nos olhos durante o repouso,alto risco
Tenho intermitente formigamento nos olhos ao levantar,alto risco
Sensação de calafrio aguda ao acordar,baixo risco
Apresentei forte rigidez muscular seguida de dor na cabeça,baixo risco
tosse aguda nos olhos de manhã,baixo risco
febre persistente nos braços durante a noite,baixo risco
Tenho crônica febre no peito ao acordar,baixo risco
Sensação de calafrio moderada durante o repouso,baixo risco
Tenho forte rigidez muscular no abdômen à noite,baixo risco
Sinto tosse com palpitação no abdômen durante o repouso,baixo risco
Apresentei intermitente suor excessivo associada a tontura na lombar,baixo risco
Sinto falta de ar junto com dor no peito nos braços à noite,alto risco
Sinto desconforto junto com rigidez muscular no peito de manhã,baixo risco
Sinto falta de ar e perda de equilíbrio nas mãos durante a noite,alto risco
cansaço persistente nas pernas ao acordar,baixo risco
Sinto perda de equilíbrio com tosse nas pernas há uma semana,baixo risco
Tenho forte falta de ar nos braços durante a noite,baixo risco
Tenho repentina náusea nos pés ao acordar,baixo risco
fraqueza moderada nos pés após comer,alto risco
Tenho forte cansaço nos pés durante o repouso,alto risco
Tenho crônica tosse no peito há uma semana,alto risco
Sinto tontura com calafrio no abdômen após comer,baixo risco
Apresentei forte palpitação seguida de dor no peito no peito,alto risco
formigamento contínua nas costas durante o repouso,baixo risco
dor intensa na lombar durante a noite,baixo risco
Sensação de perda de visão repentina há 2 dias,alto risco
Sensação de tontura intensa durante o repouso,alto risco
Tenho leve dor na garganta durante o repouso,baixo risco
Apresentei intermitente dor no peito e tosse no peito,baixo risco
fraqueza forte nas costas durante o repouso,alto risco
Apresentei contínua falta de ar e falta de ar na coluna,alto risco
Apresentei moderada rigidez muscular junto com náusea na lombar,baixo risco
Sensação de cansaço leve à noite,baixo risco
tosse persistente nas costas de manhã,baixo risco
Apresentei persistente suor excessivo seguida de inchaço nos pés,baixo risco
Sensação de dor abdominal crônica durante o repouso,alto risco
rigidez muscular contínua nos pés após comer,baixo risco
calafrio leve nos pés há 2 dias,alto risco
Sinto confusão mental junto com tontura nas costas após comer,baixo risco
Sensação de formigamento crônica à noite,baixo risco
cansaço leve nos pés ao levantar,baixo risco
Sensação de fraqueza persistente durante o repouso,baixo risco
Apresentei aguda inquietação associada a aperto nos olhos,alto risco
Tenho intermitente coceira nas costas ao acordar,baixo risco
Sinto calafrio junto com palpitação na lombar à noite,alto risco
Apresentei contínua rigidez muscular seguida de falta de ar na garganta,baixo risco
Sensação de calafrio leve após esforço,baixo risco
Tenho crônica cansaço na cabeça à noite,alto risco
Apresentei aguda rigidez muscular associada a aperto na lombar,alto risco
Apresentei leve inquietação com fraqueza nos olhos,baixo risco
Apresentei crônica perda de visão junto com náusea nos pés,baixo risco
Sensação de dor no peito repentina durante o repouso,alto risco
Sensação de perda de equilíbrio crônica durante a noite,baixo risco
Apresentei intermitente perda de equilíbrio seguida de dor abdominal nas mãos,alto risco
Sinto rigidez muscular com inquietação nos braços durante a noite,alto risco
Sinto palpitação com tontura nos olhos ao acordar,alto risco
Sensação de tosse persistente de manhã,baixo risco
Sensação de coceira moderada após esforço,alto risco
Tenho leve perda de equilíbrio nas costas há 2 dias,alto risco
Sinto cansaço associada a dor no peito nos olhos após esforço,alto risco
coceira moderada nos pés há uma semana,baixo risco
Sensação de inchaço aguda após comer,alto risco
dor no peito aguda nas costas há uma semana,alto risco
Apresentei intermitente aperto seguida de rigidez muscular no abdômen,alto risco
Apresentei leve febre seguida de coceira nas mãos,baixo risco
Tenho moderada inchaço no peito ao levantar,alto risco
Apresentei moderada inchaço e tontura nos olhos,alto risco
Sinto palpitação com dor no peito na coluna após esforço,alto risco
Sinto dor com dor de cabeça no abdômen após comer,alto risco
Tenho repentina perda de equilíbrio nas costas durante a noite,alto risco
Tenho moderada rigidez muscular na garganta durante a noite,alto risco
Sinto tosse e cansaço na coluna há 2 dias,baixo risco
Sensação de tosse leve ao acordar,baixo risco
Sinto dor abdominal e tontura no peito após esforço,baixo risco
Sinto dor abdominal associada a dor no peito na cabeça há uma semana,baixo risco
Sensação de formigamento aguda de manhã,alto risco
fraqueza persistente nas mãos após esforço,baixo risco
Tenho moderada desconforto nas mãos há uma semana,alto risco
Sensação de dor de cabeça aguda durante a noite,baixo risco
aperto intensa no abdômen à noite,alto risco
febre crônica nas pernas ao levantar,alto risco
dor crônica nas costas ao acordar,alto risco
cansaço crônica na coluna ao levantar,alto risco
Sensação de febre persistente à noite,baixo risco
Sinto palpitação e suor excessivo nos olhos durante o repouso,baixo risco
Sensação de falta de ar forte de manhã,alto risco
Sensação de perda de equilíbrio moderada durante o repouso,alto risco
Sinto dor e confusão mental nos braços após comer,alto risco
calafrio contínua na garganta há uma semana,baixo risco
inquietação forte nas pernas após esforço,baixo risco
Apresentei contínua febre e confusão mental nos pés,alto risco
Tenho aguda dor de cabeça na garganta à noite,baixo risco
Sensação de perda de equilíbrio persistente de manhã,alto risco
Sensação de inchaço forte ao levantar,alto risco
Sinto confusão mental com dor abdominal no abdômen ao acordar,baixo risco
Tenho repentina perda de visão nas mãos há 2 dias,baixo risco
Tenho moderada tontura na lombar durante o repouso,baixo risco
Tenho persistente suor excessivo nos pés de manhã,baixo risco
Sensação de desconforto crônica há 2 dias,baixo risco
Tenho crônica dor no peito no peito ao levantar,baixo risco
Apresentei crônica suor excessivo e desconforto na coluna,alto risco
Tenho leve confusão mental na coluna à noite,baixo risco
Sinto dor junto com suor excessivo no abdômen ao levantar,alto risco
Apresentei intermitente inquietação associada a falta de ar nas mãos,alto risco
falta de ar persistente no abdômen durante o repouso,baixo risco
inchaço crônica nos braços após esforço,baixo risco
Apresentei leve inquietação associada a dor abdominal na cabeça,baixo risco
perda de equilíbrio aguda nas costas durante o repouso,baixo risco
Sinto calafrio associada a náusea nas mãos ao acordar,alto risco
Apresentei aguda fraqueza com calafrio nas costas,baixo risco
perda de equilíbrio leve na garganta após comer,baixo risco
Sensação de falta de ar repentina após comer,alto risco
Sinto palpitação com formigamento nas costas durante o repouso,baixo risco
Tenho aguda febre nas pernas à noite,baixo risco
Sinto formigamento junto com suor excessivo na cabeça há 2 dias,alto risco
Apresentei persistente rigidez muscular seguida de febre na lombar,baixo risco
Apresentei intermitente fraqueza seguida de dor no peito,baixo risco
Apresentei aguda dor de cabeça associada a aperto na coluna,baixo risco
Sinto palpitação junto com tontura na coluna ao levantar,alto risco
Sensação de calafrio leve há 2 dias,baixo risco
Sensação de dor de cabeça repentina há 2 dias,alto risco
Sinto inquietação e perda de visão nos olhos há uma semana,baixo risco
Sinto inchaço e confusão mental na lombar durante o repouso,alto risco
Apresentei leve tontura com cansaço no abdômen,baixo risco
dor no peito forte na coluna após comer,baixo risco
Sensação de inquietação persistente à noite,alto risco
Apresentei forte dor no peito junto com perda de visão no abdômen,alto risco
Sinto falta de ar seguida de fraqueza nas costas há 2 dias,alto risco
Tenho intermitente perda de equilíbrio na coluna após esforço,baixo risco
Apresentei intermitente confusão mental e tosse na lombar,baixo risco
Apresentei forte dor abdominal junto com dor de cabeça no abdômen,baixo risco
Tenho persistente perda de equilíbrio na lombar à noite,baixo risco
fraqueza intermitente na coluna ao levantar,baixo risco
Sinto aperto junto com dor na coluna ao levantar,baixo risco
Apresentei aguda suor excessivo e náusea nos braços,alto risco
Tenho forte palpitação nos braços após comer,alto risco
Tenho aguda dor abdominal no abdômen ao levantar,alto risco
Tenho leve desconforto no abdômen durante a noite,baixo risco
Sinto dor no peito associada a rigidez muscular nas pernas de manhã,alto risco
Sensação de dor contínua durante o repouso,alto risco
suor excessivo leve na lombar após esforço,alto risco
Apresentei repentina falta de ar e aperto nas pernas,baixo risco
Apresentei repentina dor abdominal seguida de dor nas pernas,alto risco
Sensação de calafrio intensa durante o repouso,baixo risco
Sensação de falta de ar persistente à noite,baixo risco
Apresentei contínua fraqueza com febre na lombar,baixo risco
Apresentei repentina rigidez muscular seguida de dor de cabeça nos olhos,alto risco
Tenho persistente tosse nos pés após esforço,baixo risco
coceira aguda na cabeça de manhã,alto risco
palpitação leve nas pernas à noite,alto risco
Sinto perda de equilíbrio associada a dor abdominal nas costas após esforço,baixo risco
Sensação de desconforto moderada após esforço,alto risco
Apresentei aguda formigamento e formigamento nas mãos,alto risco
Tenho leve palpitação no abdômen após comer,baixo risco
Apresentei repentina dor e aperto nos pés,alto risco
Tenho contínua desconforto nas mãos durante o repouso,baixo risco
Sensação de calafrio intensa há 2 dias,alto risco
náusea persistente nos pés após comer,baixo risco
suor excessivo leve no peito ao levantar,baixo risco
Sinto confusão mental junto com desconforto na garganta à noite,alto risco
Sinto palpitação associada a dor de cabeça na coluna durante o repouso,baixo risco
Sensação de fraqueza intermitente ao levantar,alto risco
Sinto náusea com tontura na cabeça há uma semana,baixo risco
Tenho contínua fraqueza nos pés após esforço,alto risco
Tenho aguda coceira na garganta durante a noite,alto risco
calafrio repentina no peito há uma semana,baixo risco
dor aguda na lombar após comer,baixo risco
Sinto dor seguida de coceira no peito durante a noite,baixo risco
Sensação de perda de equilíbrio intensa durante o repouso,baixo risco
suor excessivo aguda na garganta há 2 dias,baixo risco
Apresentei forte fraqueza seguida de tosse na cabeça,alto risco
Tenho intermitente tosse na garganta à noite,alto risco
Sinto tosse junto com febre nos braços após comer,alto risco
coceira crônica na cabeça durante a noite,baixo risco
Sensação de aperto aguda após esforço,baixo risco
Tenho contínua inquietação na cabeça à noite,baixo risco
Sinto falta de ar associada a fraqueza nos braços há 2 dias,alto risco
calafrio contínua na garganta de manhã,baixo risco
Apresentei moderada coceira associada a dor abdominal no peito,baixo risco
Apresentei intensa fraqueza seguida de cansaço na cabeça,alto risco
Sinto náusea e tontura no peito durante o repouso,baixo risco
Sinto dor abdominal junto com desconforto na cabeça de manhã,alto risco
tosse intermitente nos pés após esforço,baixo risco
Tenho aguda dor na cabeça ao acordar,alto risco
Sinto aperto e calafrio nas mãos após esforço,baixo risco
Apresentei aguda formigamento com perda de visão nos braços,baixo risco
Sinto aperto com fraqueza na lombar de manhã,alto risco
Sinto tontura junto com coceira no peito há uma semana,baixo risco
Sinto calafrio e tosse nas costas de manhã,alto risco
Sinto inchaço e coceira nas mãos após comer,baixo risco
Sensação de palpitação moderada de manhã,alto risco
Apresentei forte calafrio seguida de tontura na lombar,alto risco
Apresentei leve cansaço com perda de visão na coluna,baixo risco
fraqueza forte nas pernas ao acordar,baixo risco
Sinto falta de ar com febre nas pernas durante a noite,alto risco
Sensação de falta de ar aguda após comer,alto risco
Apresentei contínua suor excessivo com formigamento na garganta,baixo risco
Sinto falta de ar associada a suor excessivo nos braços ao acordar,baixo risco
Apresentei contínua fraqueza seguida de suor excessivo na lombar,baixo risco
Tenho intermitente suor excessivo nos braços ao acordar,baixo risco
cansaço crônica nos braços durante a noite,baixo risco
tontura aguda nos olhos ao acordar,baixo risco
Sensação de rigidez muscular crônica ao levantar,baixo risco
dor de cabeça intensa nos olhos à noite,alto risco
Sensação de dor de cabeça repentina durante a noite,alto risco
Tenho crônica calafrio nos pés há 2 dias,baixo risco
Sensação de desconforto intensa há 2 dias,baixo risco
Tenho persistente náusea nos olhos após esforço,alto risco
rigidez muscular intermitente no peito após esforço,alto risco
Sinto dor no peito seguida de inquietação no peito durante a noite,baixo risco
Sinto dor de cabeça seguida de aperto nos pés há uma semana,alto risco
Tenho persistente desconforto nos olhos ao acordar,alto risco
Tenho crônica fraqueza na coluna ao levantar,alto risco
Sinto tosse junto com confusão mental na garganta à noite,baixo risco
Tenho intensa desconforto nas costas ao levantar,alto risco
Tenho intermitente dor abdominal nos braços ao acordar,baixo risco
dor no peito moderada no peito à noite,alto risco
Apresentei intermitente inchaço com dor no peito na garganta,baixo risco
Sensação de perda de equilíbrio repentina ao levantar,baixo risco
Apresentei forte rigidez muscular com rigidez muscular na garganta,baixo risco
Tenho crônica náusea nos pés de manhã,alto risco
Tenho persistente suor excessivo no peito ao levantar,baixo risco
Apresentei moderada inchaço associada a fraqueza na garganta,baixo risco
Sensação de perda de visão forte após esforço,baixo risco
Apresentei contínua febre com dor de cabeça nas mãos,baixo risco
Sinto febre seguida de formigamento na coluna ao levantar,baixo risco
dor no peito contínua nas costas de manhã,baixo risco
Tenho contínua dor no peito nos olhos há 2 dias,baixo risco
Tenho intermitente rigidez muscular na garganta há 2 dias,baixo risco
Sinto aperto junto com perda de visão no abdômen há uma semana,baixo risco
Apresentei persistente falta de ar associada a inquietação na cabeça,alto risco
Sensação de dor de cabeça crônica há 2 dias,baixo risco
Tenho repentina febre nas costas após esforço,baixo risco
Sensação de dor de cabeça moderada de manhã,baixo risco
Sinto perda de visão associada a inchaço nos pés ao levantar,alto risco
Tenho persistente coceira no abdômen de manhã,alto risco
Tenho contínua desconforto na cabeça há 2 dias,baixo risco
formigamento repentina nas mãos durante a noite,alto risco
Tenho intensa dor no peito nas costas após esforço,baixo risco
aperto intermitente na lombar há 2 dias,baixo risco
Sensação de tosse aguda após esforço,baixo risco
Sensação de rigidez muscular forte após esforço,alto risco
Sensação de tontura intensa ao acordar,baixo risco
Sensação de náusea persistente há 2 dias,baixo risco
Sensação de formigamento forte após comer,baixo risco
Sinto suor excessivo com calafrio no peito após comer,alto risco
Tenho persistente fraqueza nos olhos há uma semana,alto risco
Sensação de tontura leve há 2 dias,alto risco
Apresentei leve dor de cabeça e dor abdominal na coluna,baixo risco
aperto contínua nos pés à noite,baixo risco
Sensação de tosse forte há uma semana,baixo risco
perda de equilíbrio intensa nos pés ao levantar,baixo risco
Tenho aguda dor nas costas após comer,baixo risco
Tenho persistente perda de equilíbrio no abdômen à noite,alto risco
Apresentei intermitente calafrio associada a náusea na lombar,baixo risco
dor abdominal moderada nos pés ao acordar,baixo risco
Tenho aguda rigidez muscular no peito durante a noite,alto risco
Apresentei repentina inquietação com calafrio nos pés,baixo risco
Apresentei moderada aperto seguida de palpitação na garganta,baixo risco
dor abdominal repentina nas pernas durante a noite,baixo risco
febre persistente nos pés após comer,alto risco
Tenho repentina perda de equilíbrio no peito após comer,alto risco
Tenho forte desconforto na lombar à noite,alto risco
tosse persistente na garganta há uma semana,alto risco
Tenho moderada dor de cabeça na cabeça após comer,alto risco
Sensação de cansaço contínua durante o repouso,baixo risco
Tenho moderada rigidez muscular na cabeça há uma semana,baixo risco
Tenho leve inquietação nas mãos após comer,baixo risco
Tenho repentina dor no peito na cabeça há 2 dias,alto risco
Apresentei persistente cansaço associada a febre nas costas,alto risco
Apresentei repentina palpitação e dor abdominal na coluna,baixo risco
Sinto inquietação com desconforto na cabeça ao acordar,alto risco
inquietação leve nos pés durante a noite,alto risco
Tenho forte palpitação no abdômen ao levantar,baixo risco
Sensação de febre intermitente ao levantar,baixo risco
coceira leve na coluna após comer,alto risco
Apresentei intermitente falta de ar associada a cansaço nos braços,baixo risco
suor excessivo contínua nos pés ao levantar,alto risco
Sinto cansaço seguida de formigamento nas pernas durante o repouso,alto risco
Apresentei forte tontura e desconforto nas costas,alto risco
Sinto inchaço com perda de visão nas pernas à noite,alto risco
Tenho moderada confusão mental nas costas durante a noite,alto risco
dor abdominal intensa nos braços ao levantar,alto risco
Sinto falta de ar e perda de equilíbrio no abdômen de manhã,baixo risco
Sensação de dor de cabeça intermitente após comer,alto risco
Sensação de perda de equilíbrio crônica durante o repouso,baixo risco
Sinto inchaço associada a tosse na cabeça de manhã,baixo risco
Tenho intensa desconforto no abdômen após esforço,baixo risco
Sinto perda de equilíbrio com fraqueza nos braços há 2 dias,baixo risco
Tenho contínua rigidez muscular no abdômen ao levantar,alto risco
Sensação de palpitação moderada ao levantar,alto risco
Sinto desconforto junto com dor nos braços ao acordar,alto risco
Tenho leve tontura na lombar após esforço,alto risco
Apresentei repentina dor abdominal seguida de dor nas costas,alto risco
Sensação de aperto crônica à noite,baixo risco
Sensação de cansaço aguda há uma semana,alto risco
dor no peito intermitente na garganta após comer,alto risco
tontura leve na garganta durante o repouso,baixo risco
Tenho aguda coceira no abdômen à noite,baixo risco
Sensação de febre contínua após comer,alto risco
cansaço crônica nos olhos há uma semana,baixo risco
Tenho contínua dor no abdômen ao acordar,alto risco
Sinto desconforto e aperto no peito após comer,alto risco
Sensação de aperto moderada ao levantar,alto risco
calafrio leve nos olhos de manhã,baixo risco
Tenho contínua tontura na coluna há 2 dias,alto risco
Apresentei intermitente perda de visão e inchaço na cabeça,alto risco
Tenho intensa rigidez muscular na garganta durante a noite,baixo risco
Sensação de dor intensa à noite,baixo risco
Tenho moderada dor no peito na cabeça à noite,baixo risco
Tenho intermitente tosse na lombar após esforço,baixo risco
Sinto tontura seguida de fraqueza na cabeça após esforço,alto risco
Sinto formigamento junto com calafrio nos olhos após esforço,baixo risco
Sensação de fraqueza intermitente de manhã,baixo risco
Apresentei crônica inquietação seguida de palpitação na garganta,baixo risco
Apresentei repentina desconforto seguida de febre na lombar,alto risco
Sensação de febre leve há uma semana,baixo risco
Apresentei aguda coceira junto com dor nas pernas,baixo risco
Tenho repentina cansaço na cabeça de manhã,alto risco
perda de visão persistente no peito à noite,alto risco
Sensação de tontura aguda ao levantar,alto risco
Sensação de inchaço forte de manhã,baixo risco
Sinto suor excessivo seguida de suor excessivo na coluna após comer,baixo risco
Sinto cansaço junto com fraqueza na garganta após comer,alto risco
Sinto calafrio junto com palpitação no peito à noite,baixo risco
Sinto dor abdominal junto com cansaço no peito de manhã,baixo risco
Sensação de febre aguda durante a noite,baixo risco
rigidez muscular repentina na cabeça ao levantar,alto risco
Apresentei persistente dor abdominal e febre na cabeça,alto risco
Apresentei leve coceira seguida de dor no peito nas pernas,alto risco
Sinto aperto com inquietação no abdômen de manhã,baixo risco
Sensação de inchaço intermitente ao levantar,baixo risco
perda de equilíbrio intermitente no abdômen há 2 dias,alto risco
Sinto cansaço seguida de rigidez muscular nos olhos há uma semana,baixo risco
Sinto dor no peito e aperto no abdômen de manhã,alto risco
Tenho forte dor abdominal nas costas durante o repouso,baixo risco
Sinto náusea seguida de coceira na lombar à noite,alto risco
Apresentei crônica cansaço com inchaço nos braços,baixo risco
Sensação de dor abdominal aguda à noite,baixo risco
dor de cabeça aguda nos olhos durante o repouso,alto risco
Sensação de tosse leve após esforço,baixo risco
Sinto cansaço e aperto no abdômen há 2 dias,alto risco
Apresentei aguda febre associada a cansaço no abdômen,baixo risco
Sinto aperto junto com aperto nas pernas há 2 dias,alto risco
confusão mental intensa no abdômen ao acordar,alto risco
Sinto tosse associada a fraqueza na garganta após comer,baixo risco
cansaço intensa no abdômen durante o repouso,baixo risco
Apresentei leve náusea seguida de tontura no peito,alto risco
Sinto inchaço e perda de equilíbrio nos braços durante o repouso,baixo risco
Apresentei contínua febre seguida de confusão mental nas mãos,alto risco
Tenho leve perda de equilíbrio no peito ao levantar,alto risco
Tenho persistente dor nas mãos de manhã,alto risco
Sensação de aperto repentina de manhã,alto risco
Tenho moderada inquietação nos pés há uma semana,alto risco
Sinto perda de equilíbrio junto com fraqueza nos braços há 2 dias,baixo risco
tontura aguda nas mãos durante o repouso,alto risco
Sinto inquietação seguida de rigidez muscular nas pernas há 2 dias,baixo risco
Sinto desconforto associada a tosse nas mãos ao levantar,alto risco
Sinto dor no peito com palpitação nos braços à noite,alto risco
Apresentei aguda inquietação seguida de confusão mental na lombar,baixo risco
Sensação de náusea persistente durante o repouso,baixo risco
Apresentei aguda tosse associada a aperto nas mãos,baixo risco
Apresentei leve aperto associada a formigamento no peito,baixo risco
Sensação de cansaço persistente há 2 dias,baixo risco
Sinto inquietação com coceira na garganta ao acordar,baixo risco
Apresentei repentina dor seguida de suor excessivo nos olhos,alto risco
Apresentei aguda rigidez muscular seguida de inchaço na cabeça,alto risco
aperto intensa nas mãos ao levantar,alto risco
Apresentei contínua tosse associada a febre na lombar,baixo risco
rigidez muscular crônica nos olhos durante a noite,baixo risco
Sensação de tosse leve de manhã,alto risco
Sinto perda de equilíbrio seguida de confusão mental nos braços ao levantar,alto risco
Sensação de confusão mental repentina após comer,baixo risco
Sinto tosse junto com fraqueza nos pés após comer,alto risco
Sinto desconforto e confusão mental nas costas de manhã,alto risco
Tenho persistente dor no peito nos olhos à noite,baixo risco
Sensação de perda de equilíbrio intermitente há 2 dias,baixo risco
Sinto dor seguida de perda de equilíbrio no abdômen à noite,baixo risco
Sensação de dor no peito persistente durante o repouso,baixo risco
náusea intensa no peito após esforço,baixo risco
desconforto moderada nos olhos há 2 dias,alto risco
Tenho forte desconforto nas pernas durante o repouso,alto risco
Apresentei intermitente desconforto seguida de dor de cabeça nas pernas,alto risco
Tenho aguda suor excessivo na garganta durante a noite,baixo risco
Sinto náusea com dor no peito na lombar durante a noite,baixo risco
Sensação de palpitação intensa à noite,baixo risco
Sinto dor abdominal seguida de perda de equilíbrio no abdômen de manhã,baixo risco
Sinto falta de ar seguida de cansaço na lombar ao acordar,alto risco
Apresentei intermitente perda de visão e dor nos olhos,baixo risco
Tenho crônica desconforto nas costas durante a noite,baixo risco
Sinto calafrio junto com inquietação no peito após esforço,alto risco
inquietação leve no peito durante o repouso,alto risco
Sinto febre associada a desconforto nas mãos à noite,baixo risco
Sinto dor abdominal seguida de dor abdominal na coluna durante o repouso,alto risco
Sinto cansaço associada a inquietação nos olhos à noite,alto risco
dor no peito moderada nas costas de manhã,alto risco
Sinto suor excessivo associada a confusão mental nos olhos há uma semana,baixo risco
dor de cabeça moderada na garganta de manhã,baixo risco
confusão mental aguda nas mãos de manhã,baixo risco
Sinto rigidez muscular seguida de calafrio nas pernas após esforço,baixo risco
Sinto rigidez muscular junto com náusea nas costas durante a noite,baixo risco
confusão mental aguda na coluna após comer,baixo risco
Apresentei aguda suor excessivo associada a febre na cabeça,alto risco
Tenho leve cansaço nos pés há uma semana,alto risco
